Time [s],Channel 2
0.854632000,1
0.854698000,0
0.854708000,1
0.854734000,0
0.854744000,1
0.854788000,0
0.854798000,1
0.855072000,0
0.855082000,1
0.855240000,0
0.855250000,1
0.855304000,0
0.855314000,1
0.855386000,0
0.855394000,1
0.855468000,0
0.855476000,1
0.855548000,0
0.855558000,1
0.855588000,0
0.855598000,1
0.855666000,0
0.855676000,1
0.855702000,0
0.855712000,1
0.855738000,0
0.855748000,1
0.856038000,0
0.856046000,1
0.856206000,0
0.856216000,1
0.856258000,0
0.856266000,1
0.856338000,0
0.856348000,1
0.856420000,0
0.856430000,1
0.856502000,0
0.856510000,1
0.856540000,0
0.856550000,1
0.856622000,0
0.856632000,1
0.856658000,0
0.856668000,1
0.856700000,0
0.856710000,1
0.857002000,0
0.857012000,1
0.857172000,0
0.857180000,1
0.857210000,0
0.857220000,1
0.857292000,0
0.857302000,1
0.857374000,0
0.857382000,1
0.857454000,0
0.857464000,1
0.857498000,0
0.857506000,1
0.857534000,0
0.857542000,1
0.857570000,0
0.857578000,1
0.857630000,0
0.857640000,1
0.857968000,0
0.857978000,1
0.858136000,0
0.858146000,1
0.858176000,0
0.858186000,1
0.858258000,0
0.858266000,1
0.858338000,0
0.858348000,1
0.858420000,0
0.858430000,1
0.858462000,0
0.858472000,1
0.858502000,0
0.858510000,1
0.858538000,0
0.858548000,1
0.858604000,0
0.858614000,1
0.858932000,0
0.858942000,1
0.859102000,0
0.859112000,1
0.859142000,0
0.859150000,1
0.859222000,0
0.859232000,1
0.859304000,0
0.859314000,1
0.859386000,0
0.859394000,1
0.859428000,0
0.859436000,1
0.859470000,0
0.859480000,1
0.859506000,0
0.859516000,1
0.859578000,0
0.859588000,1
0.859898000,0
0.859908000,1
0.860066000,0
0.860076000,1
0.860106000,0
0.860116000,1
0.860188000,0
0.860196000,1
0.860270000,0
0.860278000,1
0.860350000,0
0.860360000,1
0.860392000,0
0.860402000,1
0.860438000,0
0.860448000,1
0.860474000,0
0.860484000,1
0.860552000,0
0.860562000,1
0.860864000,0
0.860872000,1
0.861032000,0
0.861042000,1
0.861072000,0
0.861080000,1
0.861154000,0
0.861162000,1
0.861234000,0
0.861244000,1
0.861316000,0
0.861326000,1
0.861358000,0
0.861368000,1
0.861406000,0
0.861416000,1
0.861442000,0
0.861452000,1
0.861478000,0
0.861488000,1
0.861828000,0
0.861838000,1
0.861998000,0
0.862006000,1
0.862036000,0
0.862046000,1
0.862118000,0
0.862128000,1
0.862200000,0
0.862208000,1
0.862282000,0
0.862290000,1
0.862324000,0
0.862332000,1
0.862374000,0
0.862384000,1
0.862410000,0
0.862420000,1
0.862454000,0
0.862462000,1
0.862794000,0
0.862802000,1
0.862962000,0
0.862972000,1
0.863002000,0
0.863012000,1
0.863084000,0
0.863092000,1
0.863164000,0
0.863174000,1
0.863246000,0
0.863256000,1
0.863288000,0
0.863298000,1
0.863342000,0
0.863352000,1
0.863380000,0
0.863388000,1
0.863428000,0
0.863436000,1
0.863760000,0
0.863768000,1
0.863928000,0
0.863938000,1
0.863968000,0
0.863976000,1
0.864048000,0
0.864058000,1
0.864130000,0
0.864140000,1
0.864212000,0
0.864220000,1
0.864254000,0
0.864264000,1
0.864312000,0
0.864320000,1
0.864348000,0
0.864356000,1
0.864402000,0
0.864410000,1
0.864724000,0
0.864734000,1
0.864894000,0
0.864902000,1
0.864932000,0
0.864942000,1
0.865014000,0
0.865024000,1
0.865096000,0
0.865104000,1
0.865176000,0
0.865186000,1
0.865220000,0
0.865228000,1
0.865280000,0
0.865288000,1
0.865316000,0
0.865324000,1
0.865366000,0
0.865376000,1
0.865690000,0
0.865698000,1
0.865858000,0
0.865868000,1
0.865934000,0
0.865944000,1
0.866016000,0
0.866024000,1
0.866096000,0
0.866106000,1
0.866178000,0
0.866188000,1
0.866220000,0
0.866230000,1
0.866284000,0
0.866294000,1
0.866320000,0
0.866330000,1
0.866378000,0
0.866386000,1
0.866654000,0
0.866664000,1
0.866824000,0
0.866832000,1
0.866874000,0
0.866884000,1
0.866956000,0
0.866966000,1
0.867038000,0
0.867048000,1
0.867120000,0
0.867128000,1
0.867162000,0
0.867170000,1
0.867228000,0
0.867238000,1
0.867264000,0
0.867274000,1
0.867304000,0
0.867312000,1
0.867620000,0
0.867628000,1
0.867788000,0
0.867798000,1
0.867852000,0
0.867862000,1
0.867934000,0
0.867942000,1
0.868016000,0
0.868024000,1
0.868096000,0
0.868106000,1
0.868138000,0
0.868148000,1
0.868208000,0
0.868218000,1
0.868244000,0
0.868254000,1
0.868290000,0
0.868298000,1
0.868586000,0
0.868594000,1
0.868754000,0
0.868764000,1
0.868830000,0
0.868838000,1
0.868910000,0
0.868920000,1
0.868992000,0
0.869002000,1
0.869074000,0
0.869082000,1
0.869116000,0
0.869126000,1
0.869188000,0
0.869198000,1
0.869224000,0
0.869234000,1
0.869300000,0
0.869310000,1
0.869550000,0
0.869560000,1
0.869720000,0
0.869728000,1
0.869782000,0
0.869792000,1
0.869864000,0
0.869874000,1
0.869946000,0
0.869954000,1
0.870028000,0
0.870036000,1
0.870070000,0
0.870078000,1
0.870144000,0
0.870154000,1
0.870180000,0
0.870190000,1
0.870262000,0
0.870272000,1
0.870516000,0
0.870526000,1
0.870684000,0
0.870694000,1
0.870760000,0
0.870770000,1
0.870842000,0
0.870850000,1
0.870922000,0
0.870932000,1
0.871004000,0
0.871014000,1
0.871046000,0
0.871056000,1
0.871124000,0
0.871134000,1
0.871162000,0
0.871170000,1
0.871224000,0
0.871234000,1
0.871480000,0
0.871490000,1
0.871650000,0
0.871658000,1
0.871714000,0
0.871722000,1
0.871794000,0
0.871804000,1
0.871876000,0
0.871886000,1
0.871958000,0
0.871966000,1
0.872000000,0
0.872008000,1
0.872082000,0
0.872090000,1
0.872118000,0
0.872126000,1
0.872186000,0
0.872196000,1
0.872446000,0
0.872456000,1
0.872616000,0
0.872624000,1
0.872678000,0
0.872688000,1
0.872760000,0
0.872770000,1
0.872842000,0
0.872850000,1
0.872922000,0
0.872932000,1
0.872968000,0
0.872978000,1
0.873004000,0
0.873014000,1
0.873040000,0
0.873050000,1
0.873122000,0
0.873130000,1
0.873412000,0
0.873420000,1
0.873580000,0
0.873590000,1
0.873620000,0
0.873628000,1
0.873702000,0
0.873710000,1
0.873782000,0
0.873792000,1
0.873864000,0
0.873874000,1
